"Region";"TariffItem";"UnitOfMeasure";"StartDate";"EndDate";"MeasureDeviceAvail";"StoveType";"ConsumptionTime";"ConsumptionTarget";"Agency";"TariffValue";"global_id";
"Регион";"Предмет тарифа";"Единицы измерения";"Дата начала действия тарифа";"Дата окончания действия тарифа";"Наличие приборов учета";"Тип кухонной плиты";"Время потребления";"Цель потребления";"Организация, оказывающая услуги";"Значение тарифа";"global_id";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ООО «ТСК Новая Москва» - Поселок подсобного хозяйства Минзаг поселения Краснопахорское";"2684.47";"842800157";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ООО «ТСК Новая Москва» - Поселение Десеновское по системе теплоснабжения котельной «Витермо»";"1765.38";"842800204";
"Троицкий и Новомосковский АО";"Отопление";"руб/Гкал";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ООО «ТСК Новая Москва» - Поселение Десеновское по системе теплоснабжения котельной «Витермо»";"1830.26";"842800231";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Горячее водоснабжение";"руб/куб.м";"01.07.2017";"31.12.2017";"да/нет";"";"";"";"ООО «ТЕПЛОВИК»";"132.06";"842800359";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Горячее водоснабжение";"руб/куб.м";"23.11.2017";"31.12.2017";"да/нет";"";"";"";"АО «Жировой комбинат» филиал «Московский жировой комбинат»";"121.61";"842800411";
"Троицкий и Новомосковский АО";"Горячее водоснабжение";"руб/куб.м";"04.10.2017";"31.12.2017";"да/нет";"";"";"";"ФГКУ дом отдыха «Подмосковные вечера» Федеральной службы безопасности Российской Федерации";"94.75";"842800469";
"Троицкий и Новомосковский АО";"Горячее водоснабжение";"руб/куб.м";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ФБУЗ «Лечебно-реабилитационный центр Министерства экономического развития Российской Федерации»";"96.37";"842800541";
"Троицкий и Новомосковский АО";"Горячее водоснабжение";"руб/куб.м";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ФБУЗ «Лечебно-реабилитационный центр Министерства экономического развития Российской Федерации»";"97.82";"842800570";
"Троицкий и Новомосковский АО";"Горячее водоснабжение";"руб/куб.м";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ООО «Источник»";"139.55";"842800646";
"Троицкий и Новомосковский АО";"Горячее водоснабжение";"руб/куб.м";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ООО «Источник»";"148.36";"842800714";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Горячее водоснабжение";"руб/куб.м";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ОАО «Квант-Н»";"150.76";"842800756";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Горячее водоснабжение";"руб/куб.м";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ОАО «Квант-Н»";"159.06";"842800791";
"Троицкий и Новомосковский АО";"Горячее водоснабжение";"руб/куб.м";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ООО «СтройРубеж»";"105.41";"842800827";
"Троицкий и Новомосковский АО";"Горячее водоснабжение";"руб/куб.м";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ООО «СтройРубеж»";"105.45";"842800857";
"Троицкий и Новомосковский АО";"Горячее водоснабжение";"руб/куб.м";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ООО «ГрадИнвест»";"168.32";"842800892";
"Троицкий и Новомосковский АО";"Горячее водоснабжение";"руб/куб.м";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ООО «ГрадИнвест»";"171.25";"842800922";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Горячее водоснабжение";"руб/куб.м";"01.01.2018";"30.06.2018";"да/нет";"";"";"";"ООО «ТСК Мосэнерго» на территории Зеленоградского административного округа";"180.55";"842800957";
"город Москва (за исключением Троицкого и Новомосковского АО)";"Горячее водоснабжение";"руб/куб.м";"01.07.2018";"31.12.2018";"да/нет";"";"";"";"ООО «ТСК Мосэнерго» на территории Зеленоградского административного округа";"188.53";"842800984";
